序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
86,"[Shot 1 - Low Angle / Forest Volumetric Light]
A low-angle shot looking up at a primeval forest in the early morning. Morning sunlight penetrates the dense fog, forming distinct Tyndall beams (volumetric light rays) that project precisely onto the damp moss and dew on the ground.

[Shot 2 - Extreme Long Shot / Aurora and Reflections]
An extreme long shot depicting an Icelandic black sand beach under the polar night. Vibrant emerald and deep violet auroras dance like silk across the night sky, reflected in the mirror-like black tide below.

[Shot 3 - Medium Shot / Architectural Geometric Shadows]
Cut to a medium shot of a minimalist building interior. The harsh mid-day sun refracts through huge Venetian blinds, casting a sharp, high-contrast matrix of black-and-white linear shadows across the marble floor and white walls.

[Shot 4 - Zoom Out / Freeze-Frame Silhouette at Sunset]
The camera pulls back extremely slowly. The black-and-white shadows are swallowed by the blood-red sun slowly sinking outside the window. The entire building is carved into a stark silhouette, freezing in the red glow.","自然景观,人造空间",,画面构图,,分镜脚本,"运镜,多镜头,时间操控",英文,172,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0085.mp4
87,我现在正在参加端午奇境的ai创意大赛，要求以「古人/文物/非遗等传统文化搞笑复活」为主题开脑洞整活，如文物下班吵架、文物复活怼人、古人怼人、古人穿越现代搞抽象，内容形式搞笑段子或脑洞剧情生成一段视频，要求符合要求，剧情连贯,人物,,概念重组,,日常白话,,英文,1,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0086.mp4
88,"An elderly couple on a park bench sitting side by side, close-up of their clasped hands, walking along a tree-lined path, low-angle shot with falling leaves in the foreground.",人物,日常行为,,,叙述性描述,多镜头,英文,29,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0087.mp4
89,"A first-time gym-goer girl, filled with curiosity about all the equipment, moves through the space testing out 5 different machines in sequence. The camera tracks her movement, capturing each machine from a distinct angle and perspective.",人物,运动体育,,,叙述性描述,运镜,中文,238,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0088.mp4
90,清晨的写字楼前，低角度仰摄外卖员推开玻璃大门疾步走出（镜1）。画面采用跟镜头，尾随他跨上电动车并拧大油门（镜2）。随后镜头拉高，俯瞰电动车穿梭在拥堵的十字路口（镜3）。下一秒，转场至写字楼电梯内，主观视角凝视着不断上升的楼层数字（镜4）。电梯门开，急推镜头捕捉他将外卖递给前台的一瞬间（镜5）。紧接着切至商场档口，中景拍摄他接过下一单热气腾腾的黄焖鸡（镜6）。画面再切，特写调速拍摄暴雨砸在他头盔面罩上的水花（镜7）。最后，全景定格在夜幕下他推着没电的电动车走在空旷街道上的落寞背影（镜8）。,人物,日常行为,,,分镜脚本,"运镜,多镜头,时间操控",中文,246,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0089.mp4
91,"生成一支15秒高燃夏日商业广告短片，主题是“京东秒送与京东物流前置仓，解决酒水即时零售履约难题”。整体视觉使用京东品牌红作为主色调点缀，画面明亮、高级、专业，有商业广告质感。开场是炎热夏日，城市热浪翻滚，消费者在家中或办公室口渴难耐，想立刻喝到冰镇啤酒和冰饮。画面快速切换酒水即时零售的履约痛点：传统门店点位有限、线下开店慢，门店订单忙乱、拣货慢，多渠道库存不同步，SKU批次混乱，夜间订单运力不足，整箱啤酒很重且易碎，夏季高温需要低温保冷。痛点画面要用快节奏蒙太奇表现，带一点红色预警视觉。随后画面切换为京东解决方案：一边是品牌门店、授权酒水零售门店线上接单，京东骑手到店取货，实现门店秒送；另一边是京东物流共享前置仓，作为城市近场履约节点，储备冰镇啤酒、冰饮和冰品。镜头进入干净、高效、有科技感的京东物流前置仓，拣货员打开冷库，大量白色冷气喷涌，从低温货架中取出冰镇啤酒、冰饮和冰品，瓶身有冰霜和水珠。拣货员用测温枪检测温度，画面预留位置用于后期添加“-10℃”。最后展示专业保温袋、冰袋、防震包装和冷链耗材，突出冷库直出、专业包装、即时履约。

骑手、仓库、订单动效中加入京东品牌红元素，但不要依赖模型生成准确中文Logo。整体要体现：门店上翻 + 共享前置仓，帮助酒水品牌快速进入即时零售。
","人物,物体,人造空间",日常行为,多个体/群体画面,,专业影视语言,"运镜,多镜头",英文,3,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0090.mp4
92,"【分镜 1】这是一个完全模仿一个小偷眼睛看世界的第一人称视角。视角非常低，正贴着戒备森严的博物馆通风管道快速往前爬行，透过铁栅栏，看到下方走廊一双巡逻保安的黑色皮鞋缓缓走过。
【分镜 2】小偷用手推开栅栏，视角猛地向下一跳，稳稳落在大理石地面上。正前方的防盗玻璃柜里锁着一颗巨大的红色宝石，视角猫着腰快速靠近，用手里的激光切割器啪地一下切开玻璃，一把抓起红宝石。
【分镜 3】博物馆的警报红灯瞬间疯狂闪烁。视角剧烈一晃，推开一扇安全通道的大门钻了出去，来到了下着暴雨的室外高空天台，顺着陡峭的钢架在狂风中拼命往边缘奔跑，面对前方赶来拦截的警察，视角在天台边缘纵身一跃跳向夜空。
【分镜 4】视角在半空中划过一道漫长的坠落抛物线，两边的城市霓虹灯光飞速倒退。紧接着“嘭”的一声巨响，视角稳稳地落在了下方正在疾驰的黑色货车车厢软蓬上，软蓬被砸得深深凹陷下去又弹起。
【分镜 5】视角慢慢抬起，看向开向远方的漆黑夜空。那颗巨大的红宝石正被紧紧握在手里，在夜色中反射着后方警车追来的红光，货车越开越快，逐渐甩掉了警车。",人物,极限动作,,,分镜脚本,"运镜,多镜头",中文,455,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0091.mp4
93,Dolly push-pull shooting a spinning gyroscope. Shallow depth of field bearing close-up. Overhead mechanical panorama. Lateral tracking with gear bokeh.,物体,,,刚体位移,专业影视语言,"运镜,多镜头",英文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0092.mp4
94,"Shot 1 (Extreme Close-Up):
In a silent, pitch-black frame, a beam of icy ultraviolet probe laser suddenly pierces down. The scene opens with a millimeter-scale extreme close-up, focusing strictly on a single grain of red Martian sand.

Shot 2 (Microscopic Push-in):
Defying conventions, the camera pushes in like a microscope, plunging infinitely deeper beyond what the naked eye can see. The rocky texture on the sand's surface begins to magnify endlessly, looming like a vast earthbound grand canyon before our eyes.

Shot 3 (Panning / Tracking Sweep):
The microscopic lens glides smoothly across the coarse surface of mineral crystals, reflecting metallic shades of dark red and ethereal blue. The dried-up iron oxide crystals wedged in the crevices resemble bone-dry ancient riverbeds.

Shot 4 (Rack Focus):
The camera holds its position, rapidly shifting focus through an extremely shallow depth of field. Shifting away from the blurred tip of the surface dust, it suddenly locks onto an unknown mineral particle glimmering with an eerie, faint glow deep within.

Shot 5 (Action Capture):
A micro-airburst from the probe's mechanical arm blows across. Under the close-up lens, a few specks of Martian dust—tens of thousands of times finer than flour—hover weightlessly in the vacuum, rotating slowly like a miniature red nebula in deep space.

Shot 6 (Smooth Pull-out):
The camera begins to pull back steadily as the field of view expands. The canyon-like textures converge once more, transforming back into minerals, and finally into rock.

Shot 7 (Wide Shot Freeze-Frame):
The camera pulls all the way back to reveal a full wide shot of the probe's base. That seemingly ordinary grain of red sand rests quietly on a metallic stage, framed against the desolate, silent, and endless orange-red Martian desert stretching beyond the rover's wheels.",物体,,材质质感,,分镜脚本,"运镜,多镜头,时间操控",英文,278,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0093.mp4
95,"A red car drives out of a small town. It then enters a winding mountain road, weaving through dense forests. Next, it reaches a highway and accelerates smoothly forward. The car then enters a busy city street, briefly stopping at a traffic light. When the light turns green, it continues its journey, crossing a long sea bridge. It then arrives at a port and slowly drives onto a roll-on/roll-off (Ro-Ro) cargo ship. After the ship reaches another city, the car drives off the vessel and continues toward the horizon, heading into the sunset.
",物体,,,刚体位移,叙述性描述,,英文,93,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0094.mp4
96,下着大雨的十字路口车来车往。第一个镜头从人行道角度拍车辆经过时溅起的大片水花。第二个镜头对准一辆公交车缓缓进站，车门打开有乘客撑伞下车。第三个镜头拍红绿灯变换，一群打伞的人开始过马路。第四个镜头是一辆外卖电动车快速穿过车流，雨水从骑手头盔上不断滑落,"人物,物体",日常行为,多个体/群体画面,,分镜脚本,多镜头,中文,124,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0095.mp4
97,厨房台面上放着一碗刚煮好的拉面冒着热气。第一个镜头从侧面拍汤面金黄透亮上面飘着葱花和海苔。第二个镜头换到正上方俯拍，能看到面条和溏心蛋。第三个镜头拍筷子夹起面条拉得很长还在滴汤汁。第四个镜头是一个人开始大口吃面，碗里冒出更多热气,"人物,物体",日常行为,,流体/软体,分镜脚本,多镜头,中文,114,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0096.mp4
98,采用微距拍摄，在一间自然光充足的木工工作台上记录一把手工日本折刀从毛坯到成品的打磨过程。第一个镜头以俯拍广角展现工作台全貌——砂纸、磨石、矿物油瓶和半成品刀胚整齐排列，侧窗自然光在金属表面形成反光。第二个镜头切为侧面中景，匠人手持刀胚在1000目水磨石上反复推拉，水膜在钢面上形成乳白色浆液。第三个镜头以45度角微距特写捕捉刀刃与磨石接触面的摩擦细节——金属碎屑混入水中呈现灰黑色纹路，刃口的打磨线从粗糙逐渐变为镜面平行纹。第四个镜头切到正面平视角度，匠人将刀胚换至3000目精磨石，慢动作呈现每一次推磨时钢面光泽从亚光渐变为半镜面的过程。第五个镜头为顶部垂直俯拍，一滴矿物油从瓶口落至刀面并缓慢铺展开来，油膜使钢材的大马士革锻纹瞬间显现——层叠的明暗纹理如同水墨山峦。第六个镜头以超微距拍摄刀刃最终锋利度测试——一根悬空的发丝轻触刃口即被无声切断，焦平面精确锁定在刃口0.3mm范围内。第七个镜头缓慢拉远至中景收尾，成品折刀立在黑色绒布上，刀身反射出窗外树影的倒像，背景为柔焦的工具墙和散落的木屑。,"人物,物体",精细操作,材质质感,,分镜脚本,"运镜,多镜头,时间操控",中文,450,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0097.mp4
99,"Professional BBC Earth style multi-camera broadcast. Shot 1: Telephoto 600mm close-up focusing on a snow leopard’s dilated pupils amidst a blizzard. Shot 2: Instant matching-cut to a high-speed 120fps FPV drone sweep, tracking the leopard mid-air as it launches across a 20-foot canyon. Perfect muscle deformation, lifelike fur physics, crisp volumetric snow particles.",动物,,,动物运动,专业影视语言,"运镜,多镜头",中文,369,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0098.mp4
100,镜头从作家笔尖的特写开始，缓慢拉远至书房全景。书稿文字化为三维冒险游戏景观，铠甲角色在书桌上跃动。画面通过后退镜头展示书房与动态游戏场景的完美重叠，呈现文学与游戏的宏大交汇。,"人物,物体",,概念重组,,叙述性描述,运镜,中文,87,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0099.mp4
101,"
[Shot 1 - Macro Close-Up to Smooth Crane Down]
The scene opens with a macro close-up of a few crystal-clear snowflakes gently drifting downward. The camera glides softly and smoothly into a downward dive, gradually revealing a group of children in colorful knit caps. On the snow, they cheerfully work together to build a round, chubby snowman, while nearby, a lively snowball fight unfolds, with powdery snow spraying clearly into the air.

[Shot 2 - Medium Shot / Center Focus]
At the center of the frame, a roaring orange-red bonfire crackles, sending bright sparks flying into the deep blue night sky. Surrounding the fire, adults rhythmically beat leather drums, their bodies swaying gently to the cadence. The vivid firelight dances across their faces, illuminating their warm, ruddy complexions.

[Shot 3 - Smooth Zoom Out / High-Contrast Wide Shot]
The camera pulls back steadily into a sweeping panorama. The entire village is nestled in the striking contrast between the cool blue snowscape and the warm glow of the bonfire, conveying a sense of profound stillness and peace.",人物,"日常行为,社会互动,表演艺术",多个体/群体画面,,分镜脚本,"运镜,多镜头",英文,171,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0100.mp4
102,深入蜂巢内部的视角。无数完美的六边形蜂蜡巢房紧密排列。一只工蜂爬过巢房表面，用前足将蜂蜡碎屑推入缝隙。镜头跟随它移动到一个充满金黄蜂蜜的巢房前，蜂蜜表面有气泡缓缓上升破裂。另一只工蜂从旁边的巢房中探出头来，触角与第一只蜂短暂接触后，两只蜂各自离开。镜头后拉，展现大片巢房中蜂蜜、蜂蛹和花粉的分区。,"动物,物体",,,动物运动,专业影视语言,运镜,中文,148,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0101.mp4
103,拳击馆内，两名亚洲拳击手在擂台上激烈对攻，裁判在一旁紧盯。画面左侧拳手连出三记刺拳逼近，右侧拳手后仰躲过后反击一记右勾拳，击中对方面部，汗水和护齿飞出。被击中者踉跄后退撞上围绳反弹回来，顺势抱住对手进入缠斗。裁判上前分开两人。镜头切到场边，教练拍打围绳大声指导，旁边的拳击队员集体起身呐喊。切回擂台，左侧拳手组合拳爆发，上勾拳命中下巴，右侧拳手双腿发软单膝跪地，裁判开始读秒。,人物,运动体育,打斗场景,,叙述性描述,多镜头,中文,188,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0102.mp4
104,水下峡谷中，缕缕阳光穿透水面。一头鲸鱼在珊瑚峭壁间轻柔游弋。镜头以俯拍水面波动的阳光开场，缓慢下摇，从阴影中浮现鲸鱼庞大的身躯。当它完全游入视野时，它似乎被前方吸引。此时，一群色彩鲜艳的热带鱼正从珊瑚礁缝隙中涌出，它们并未惊慌，而是好奇地环绕在鲸鱼巨大的身躯周围。鲸鱼与鱼群和谐共舞。展现环境的浩瀚尺度。最后一秒，鲸鱼微微转身，鱼群随之散开又聚拢，阳光在它们身上折射出耀眼的光芒。氛围神秘、壮丽且充满生机。,动物,,多个体/群体画面,动物运动,专业影视语言,运镜,中文,203,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0103.mp4
105,"采用中景侧位，捕捉四名中国女孩在阳光灿烂的草坪上玩""编花篮""游戏，各自把左腿叠在一起围成圈。切至脚部特写，四双鞋交错叠放，裙摆在风中轻摆。切回全景，她们笑着开始单脚跳动。",人物,社会互动,,,专业影视语言,多镜头,中文,85,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0104.mp4
106,广角镜头从雨林边缘低空切入，掠过参天古树盘根错节的根部后缓慢上升，穿过第一层树冠。途中一群鸟受惊从枝头腾飞，镜头短暂侧倾追踪鸟群方向。一只巨嘴鸟落在枝头，抖动羽毛。镜头继续上升穿过第二层树冠，一条绿色树蛇沿枝干滑行消失在叶丛中。拉高至鸟瞰视角，展现层叠的绿色树冠与蜿蜒林间溪流。突然一阵暴雨倾泻而下，雨滴击打树叶溅出白雾，溪流水位迅速上涨，冲刷岸边泥土卷走落叶。镜头在雨幕中缓缓后退，雨林全貌在水雾中若隐若现。,"动物,自然景观",,画面构图,动物运动,专业影视语言,运镜,中文,205,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0105.mp4
107,"2D animation style. Inside a kindergarten classroom, a teacher holds a picture book and reads aloud, turning a page to display a giant dragon illustration. The camera pushes in from a panoramic view of the classroom to a close-up of the children's faces, their expressions shifting from curiosity to surprise. A boy raises his hand to ask a question, and the teacher bends down to answer while turning to the next page. Another girl suddenly stands up, imitating the dragon from the picture book by waving her arms and baring her teeth, causing the children around her to burst into laughter, with one sliding off their chair. The teacher claps to signal silence, walks over to an easel, picks up colored markers, and begins sketching the outline of a dragon. Three children crowd around, eager to help color, and paint gets smudged onto one child's face. The camera pulls back to a panoramic view of the classroom,",人物,"社会互动,情绪表情",多个体/群体画面,,专业影视语言,运镜,英文,157,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0106.mp4
108,"Fisheye lens, low-angle close-up. A group of Caucasian men and women are gathered around a circular hole in a white wall, looking down with expressions of surprise and curiosity. A blond man in black holds a brown paper bag, opens it, and pulls out a glowing object that illuminates all their faces in blue light. Gasps ripple through the group. A woman reaches in to touch it but pulls back. The man tips the bag and small luminous spheres spill out, bouncing across the floor. Several people scramble to catch them. One sphere rolls directly toward the camera lens. Cut to reverse angle from inside the hole looking up at the group, their silhouettes framed against the ceiling lights.","人物,物体","社会互动,情绪表情",视觉特效,,专业影视语言,多镜头,英文,119,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0107.mp4
109,"A cinematic reverse dolly shot gliding through the interior of a Tesla gigafactory. Rows of sophisticated robotic arms are seen methodically
assembling car chassis on a slow-moving production line. The environment
features bright, clinical lighting, polished metallic surfaces, and a vast,
organized industrial layout that stretches deep into the background as the
camera pulls back smoothly.","物体,人造空间",,材质质感,刚体位移,专业影视语言,运镜,英文,52,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0108.mp4
110,"Macro shot of a rock covered in thick moss. The camera slowly tracks across the surface. A beetle emerges from between the moss leaves and crawls over the rocky terrain. Morning dewdrops cling to the moss tips; as the beetle brushes past a stem, a droplet detaches and rolls down the rock face. The camera follows the droplet into a crevice where tiny fungi glow faintly in the shadow. A snail's trail of slime glistens across the rock surface, and the snail itself comes into view at the edge of frame, its tentacles probing the moss.",动物,,材质质感,动物运动,专业影视语言,运镜,英文,96,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0109.mp4
111,"A focused female engineer in her mid-30s, wearing professional attire, meticulously adjusts the control dial on a sleek industrial 3D printer. The scene is set in a modern, clean-tech laboratory where a soft blue light from the machine's interface illuminates her hands and steady gaze, capturing the micro-movements of her fingers as she fine-tunes the settings.",人物,日常行为,画面构图,,叙述性描述,,英文,56,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0110.mp4
112,"Against the backdrop of the vast African savanna, a cheetah spots a gazelle and crouches low in the tall grass. It explodes into a sprint. Cut to the gazelle's side as it leaps and zigzags desperately. Cut back to the cheetah closing the gap, muscles rippling. The camera tracks alongside the chase at ground level.",动物,,,动物运动,专业影视语言,"运镜,多镜头",英文,55,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0111.mp4
113,"A high-angle camera slowly orbits a group of architects and designers gathered around a modern illuminated digital table, engaged in passionate discussion. Suddenly, they burst into laughter and begin applauding one another enthusiastically.",人物,社会互动,,,专业影视语言,运镜,英文,33,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0112.mp4
114,"A cinematic drone shot slowly gliding over a vast Antarctic ice shelf, revealing the intricate patterns of deep blue crevasses. Cut to a ground-level shot of a research team walking across the ice, their breath visible in the freezing air. Cut back to aerial view showing the immense frozen horizon under a clear, cold sky.","人物,自然景观",日常行为,,,专业影视语言,"运镜,多镜头",英文,55,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0113.mp4
115,"A wide-angle cinematic shot from a low-angle perspective looking up at a mysterious masked figure floating at the center of an ancient stone circle. Under the moonlight, intricate runes glow on the cloak. The figure slowly raises both arms, and the runes pulse brighter. The camera orbits around the circle.",人物,日常行为,视觉特效,,专业影视语言,运镜,英文,50,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0114.mp4
116,"中景，平视机位，人物居中构图，一名22岁亚洲年轻女性坐在午后窗边浏览手机，柔和自然侧光透过纱帘洒在脸上，镜头缓慢向前推进。她看到一条消息后嘴角轻轻扬起，眼神逐渐柔和，露出克制而真实的微笑。
面部特写，镜头继续缓慢推近，背景自然虚化，她缓缓放下手机，笑容一点点收敛，眼眶逐渐湿润，鼻尖轻微泛红，呼吸略微加深，眼里泛起泪光，努力控制情绪。
近景，镜头稳定停留，她轻轻擦去滑落的一滴眼泪，重新望向窗外，嘴角再次扬起，露出温暖而释然的微笑，午后阳光勾勒人物轮廓，整体呈现电影级摄影质感，真实微表情，细腻皮肤纹理，自然色彩，浅景深，无AI生成痕迹。",人物,情绪表情,画面构图,,专业影视语言,"运镜,多镜头",中文,269,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0115.mp4
117,"A young Asian woman sitting by a window, looking at a notification popping up on her phone, going from happy to moved to tears.",人物,情绪表情,,,日常白话,,英文,24,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0116.mp4
118,"Medium shot, eye-level angle, symmetrical composition. A 42-year-old Caucasian middle-aged male is sitting in a modern office reading documents. The space is evenly illuminated by cool natural window light and overhead office lights. The camera is steady, following the subject and slowly zooming in. He looks focused, gradually frowning as he reads, naturally leaning forward, his right hand slowly clenching the document, his shoulders tightening, and his breathing becoming heavier.
Medium close-up, the camera continues to advance, the background gradually blurring. He finds critical information in the document, his jaw tensing.
Close-up of eyes, his gaze becomes sharp, his body weight continues to shift forward, his fist tightens, and his entire being enters a state of tension before an emotional outburst.
Medium shot, the camera follows the character's movement. He suddenly stands up, slamming the document onto the desk. Arms, shoulders, and back collaborate to apply force, his body quickly leaning forward. The hem of his suit swings naturally with the movement, and the documents on the desk vibrate slightly. The motion is continuous and powerful.
Close-up, the camera slowly steadies. He closes his eyes, takes a deep breath, slowly unclinches his fist, tidies up the scattered documents, and sits back down. His shoulders gradually relax, his expression regaining control and calm. Ultra-realistic cinematic cinematography, authentic human dynamics, realistic fabric physics simulation, natural lighting and shadows, cinematic depth of field.",人物,"日常行为,情绪表情",,,专业影视语言,"运镜,多镜头",英文,226,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0117.mp4
119,"A foreign man in his 40s is sitting in an office reading documents. Initially calm, he becomes increasingly angry as he reads—his body gradually leaning forward and his grip on the papers tightening. Suddenly, he stands up and slams the documents heavily onto the desk. A moment later, he takes a deep breath, slowly calms himself down, tidies the papers on the desk, and sits back down. The entire sequence of movements looks authentic and natural, completely free of any trace of performance.",人物,"日常行为,情绪表情",,,日常白话,,英文,83,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0118.mp4
120,"中景，平视机位，人物偏右构图，一位82岁东亚老人独自坐在窗边翻阅一本泛黄的老相册，午后暖阳照亮木质桌面，空气中细小灰尘缓缓漂浮，镜头缓慢推进。他动作轻柔缓慢，始终安静地凝视着照片。
手部特写，镜头缓缓靠近老人双手，指尖轻轻抚摸照片，手背布满皱纹、老人斑和凸起的静脉，皮肤松弛，指尖微微颤抖，每一个细微动作都符合真实高龄老人的生理特征。
面部特写，镜头持续缓慢推进，焦点锁定双眼，老人眼眶逐渐湿润，嘴唇轻轻颤抖，法令纹和眼角皱纹随着情绪自然变化，一滴眼泪缓缓滑过脸颊，情绪克制而真实。
近景，镜头缓缓后移，他轻轻合上相册，望向窗外露出温暖而释然的微笑，肩膀自然放松，阳光勾勒人物轮廓。超写实电影摄影，真实皮肤纹理、毛孔、皱纹与老人斑细节，浅景深，自然暖光，电影胶片质感。",人物,情绪表情,画面构图,,专业影视语言,"运镜,多镜头",中文,334,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0119.mp4
121,"An elderly man over eighty years old sits at a wooden table in his home, slowly opening a very old photo album and looking at the old photos inside. The camera zooms in on his hands, revealing wrinkles, age spots, and blood vessels. He silently continues to look at the photos, his eyes gradually welling up with tears that gently stream down, without making a sound. Finally, he softly closes the photo album, looks up out the window, and breaks into a gentle and relieved smile; the entire scene resembles a documentary, not studio shot.
",人物,情绪表情,,,日常白话,运镜,英文,95,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0120.mp4
122,"中景，平视机位，三分法构图，一名27岁拉丁裔年轻女性穿着深灰色风衣独自走在雨后的城市街道，夜晚霓虹与暖黄色路灯交织，潮湿地面倒映着城市灯光，发丝和衣摆被微风轻轻吹动，电影级超写实摄影质感，真实皮肤纹理，HDR，高动态范围。镜头稳定跟拍，她一边向前走一边接起电话，嘴角自然扬起，眼神轻松，步伐轻快，肢体放松，流露出愉悦的情绪。
中近景，镜头缓慢推进至胸像，保持平视机位，背景逐渐虚化，电话中的内容让她慢慢停下脚步，笑容一点点消失，眉头轻轻皱起，眼神逐渐失焦，身体开始僵住，握着手机的手缓缓收紧，肩膀轻微绷紧，呼吸明显变重，情绪自然过渡到震惊。
面部特写，镜头继续缓慢推近，浅景深构图，焦点始终锁定双眼，霓虹灯在瞳孔中形成真实倒影，眼眶迅速湿润，鼻尖微微泛红，嘴唇轻轻颤抖，下颌肌肉轻微抽动，她努力控制自己的情绪，一滴眼泪缓缓滑过脸颊，整个过程克制真实，没有夸张表演，真实展现细腻微表情变化。
中景，低机位轻微跟拍，她轻轻挂断电话，用手背擦去眼泪，深吸一口气，肩膀慢慢放松，重新迈开脚步向前走，眼神逐渐恢复坚定，雨后的街道反射着霓虹光影，镜头缓缓拉远，人物逐渐融入城市夜色。整体采用电影级摄影风格，超写实画面，真实人体动力学，真实布料物理模拟，真实环境光照与镜头光学表现，35mm电影镜头，浅景深，自然色彩，无AI生成痕迹。",人物,"日常行为,情绪表情",画面构图,,专业影视语言,"运镜,多镜头",中文,560,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0121.mp4
123,一个二十多岁的外国女生晚上走在雨后的街道上，接起电话后本来很开心，后来听到电话里的内容慢慢停下脚步，笑容消失，眼眶变红，忍着眼泪没有哭出来。最后她擦掉眼泪，重新往前走，眼神变得坚定，镜头慢慢跟着她，整个画面很有电影感，真实自然。,人物,"日常行为,情绪表情",,,日常白话,运镜,中文,114,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0122.mp4
